Job started: Wed May 20 08:33:10 PM CDT 2026  Node: gh021.hsn.cm.delta.internal.ncsa.edu
GPUs: 0
Step 4350: grad_norm=0.2621, loss=0.0063, param_norm=1803.0024
Step 4400: grad_norm=0.2206, loss=0.0056, param_norm=1803.0059
Step 4450: grad_norm=0.2629, loss=0.0063, param_norm=1803.0092
Step 4500: grad_norm=0.2039, loss=0.0054, param_norm=1803.0131
Step 4550: grad_norm=0.2128, loss=0.0053, param_norm=1803.0171
Step 4600: grad_norm=0.2204, loss=0.0052, param_norm=1803.0203
Step 4650: grad_norm=0.1910, loss=0.0045, param_norm=1803.0237
Step 4700: grad_norm=0.2459, loss=0.0056, param_norm=1803.0278
Step 4750: grad_norm=0.2150, loss=0.0047, param_norm=1803.0319
Step 4800: grad_norm=0.2154, loss=0.0046, param_norm=1803.0345
Step 4850: grad_norm=0.2093, loss=0.0046, param_norm=1803.0375
Step 4900: grad_norm=0.2142, loss=0.0054, param_norm=1803.0414
Step 4950: grad_norm=0.2407, loss=0.0055, param_norm=1803.0449
Step 5000: grad_norm=0.1889, loss=0.0039, param_norm=1803.0471
Step 5050: grad_norm=0.1433, loss=0.0034, param_norm=1803.0503
Step 5100: grad_norm=0.1980, loss=0.0045, param_norm=1803.0532
Step 5150: grad_norm=0.2318, loss=0.0046, param_norm=1803.0555
Step 5200: grad_norm=0.2132, loss=0.0045, param_norm=1803.0582
Step 5250: grad_norm=0.1658, loss=0.0034, param_norm=1803.0603
Step 5300: grad_norm=0.1793, loss=0.0039, param_norm=1803.0627
Step 5350: grad_norm=0.2120, loss=0.0053, param_norm=1803.0659
Step 5400: grad_norm=0.2216, loss=0.0048, param_norm=1803.0693
Step 5450: grad_norm=0.2642, loss=0.0055, param_norm=1803.0717
Step 5500: grad_norm=0.2114, loss=0.0044, param_norm=1803.0731
Step 5550: grad_norm=0.2084, loss=0.0045, param_norm=1803.0759
Step 5600: grad_norm=0.2261, loss=0.0040, param_norm=1803.0778
Step 5650: grad_norm=0.1636, loss=0.0032, param_norm=1803.0790
Step 5700: grad_norm=0.1515, loss=0.0027, param_norm=1803.0812
Step 5750: grad_norm=0.2381, loss=0.0047, param_norm=1803.0831
